 [["name","label","concept"],
["for","Census API FIPS 'for' clause","Census API Geography Specification"],
["in","Census API FIPS 'in' clause","Census API Geography Specification"],
["ucgid","Uniform Census Geography Identifier clause","Census API Geography Specification"],
["time","ISO-8601 Date/Time value","Census API Date/Time Specification"],
["LONGCOVID_1_TOTAL","Adults who previously had COVID-19, with symptoms lasting 3 months or longer","All HPS Indicators"],
["WACTIVITY_RATE","Percentage of adults in households where someone worked onsite at a workplace in the last 7 days","All HPS Indicators"],
["CTCUSENEW_TOTAL","Adults living in households that received the Child Tax Credit on their 2021 Federal tax return in the last 4 weeks who either mostly spent it or used it to pay down debt","All HPS Indicators"],
["CHILDCARE_2_TOTAL","Adults in households where children under 5 were unable to attend daycare or another childcare arrangement in the last 4 weeks","All HPS Indicators"],
["UNITS_TOTAL","Total Population Age 18+","All HPS Indicators"],
["FOODFORCHLD1_UNIV","Universe for Adults in households where children currently receive food assistance","All HPS Indicators"],
["YR_WEEK_NUM","Data Collection Week within Year","All HPS Indicators"],
["EVICTFOR_RATE","Percentage of adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely","All HPS Indicators"],
["VACCINE_RATE","Percentage of adults in households who have received a COVID-19 vaccine","All HPS Indicators"],
["LFNEXT_RATE","Percentage of adults in households who expect someone in their household to have a loss in employment income in the next 4 weeks","All HPS Indicators"],
["FOODASSIS_RATE","Percentage of adults in households with children enrolled in public or private school where students received food assistance from school in the last 7 days","All HPS Indicators"],
["PRICEINCR_TOTAL","Adults who think prices have increased in the area where they live and shop in the last two months","All HPS Indicators"],
["ENERGYBILL_UNIV","Universe for Adults in households that were unable to pay an energy bill in full in the last 12 months","All HPS Indicators"],
["HINSEC_1_UNIV","Universe for Adults in households who missed last month's rent or mortgage payment, or who have slight or no confidence that their household can pay next month's rent or mortgage on time","All HPS Indicators"],
["CTCUSENEW_UNIV","Universe for Adults living in households that received the Child Tax Credit on their 2021 Federal tax return in the last 4 weeks who either mostly spent it or used it to pay down debt","All HPS Indicators"],
["TELEWORK_2_RATE","Percentage of adults in households where at least one adult has teleworked because of the coronavirus pandemic in the last 7 days","All HPS Indicators"],
["JOBLOSS_RATE","Percentage of adults in households where someone had a loss in employment income since March 13, 2020","All HPS Indicators"],
["SUMLEVEL","Summary Level code",null],
["EXPENSE_TOTAL","Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days","All HPS Indicators"],
["HLTHDLY_UNIV","Universe for Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","All HPS Indicators"],
["DISPLACEDTIME_UNIV","Universe for Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year","All HPS Indicators"],
["CTCUSE_UNIV","Universe for Adults in households that received a Child Tax Credit payment in the last 4 weeks who either mostly spent it or used it to pay down debt","All HPS Indicators"],
["SECONDED_UNIV","Universe for Adults in households where at least one adult was planning on taking post-secondary classes this fall, but for whom those plans have either been canceled or changed in some significant way","All HPS Indicators"],
["FOODFORCHLD_UNIV","Universe for Adults in households where children received food assistance in the last 7 days","All HPS Indicators"],
["CHILDCARE_RATE","Percentage of adults in households where children were unable to attend daycare or another childcare arrangement because of the coronavirus pandemic in the last 4 weeks","All HPS Indicators"],
["COL_START_DATE","Data Collection Start Date","All HPS Indicators"],
["CHILDCARE_TOTAL","Adults in households where children were unable to attend daycare or another childcare arrangement because of the coronavirus pandemic in the last 4 weeks","All HPS Indicators"],
["LFNEXT_TOTAL","Adults in households who expect someone in their household to have a loss in employment income in the next 4 weeks","All HPS Indicators"],
["EVICTFOR_TOTAL","Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely","All HPS Indicators"],
["TELEWORK_2_TOTAL","Adults in households where at least one adult has teleworked because of the coronavirus pandemic in the last 7 days","All HPS Indicators"],
["CHILDCARE_2_RATE","Percentage of adults in households where children under 5 were unable to attend daycare or another childcare arrangement in the last 4 weeks","All HPS Indicators"],
["PLNDTRIP_RATE","Percentage of adults in households who are planning to take any overnight trips or trips to places more than 100 miles away in the next 4 weeks","All HPS Indicators"],
["LONGCOVID_1_RATE","Percentage of adults who previously had COVID-19, with symptoms lasting 3 months or longer","All HPS Indicators"],
["PRICEWORRY_RATE","Percentage of adults who are somewhat or very concerned that prices will increase in the next six months","All HPS Indicators"],
["CHILDTELE_RATE","Percentage of adults in households where children had an appointment with a doctor, nurse, or other health professional by video or by phone in the last 4 weeks","All HPS Indicators"],
["ENERGYBILL_TOTAL","Adults in households that were unable to pay an energy bill in full in the last 12 months","All HPS Indicators"],
["CTCUSENEW_RATE","Percentage of adults living in households that received the Child Tax Credit on their 2021 Federal tax return in the last 4 weeks who either mostly spent it or used it to pay down debt","All HPS Indicators"],
["EVICTFOR_UNIV","Universe for Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely","All HPS Indicators"],
["HINSEC_TOTAL","Adults in households who are not current on rent or mortgage payments and who have slight or no confidence that their household can pay next month's rent or mortgage on time","All HPS Indicators"],
["FOODSCARCE_TOTAL","Adults in households where there was either sometimes or often not enough to eat in the last 7 days","All HPS Indicators"],
["EDMVD_UNIV","Universe for Adults in households with children in public or private school, where classes were taught in a distance learning format, or changed in some other way","All HPS Indicators"],
["SURVEY_YEAR","Data Collection Year","All HPS Indicators"],
["SECONDED_TOTAL","Adults in households where at least one adult was planning on taking post-secondary classes this fall, but for whom those plans have either been canceled or changed in some significant way","All HPS Indicators"],
["EXPENSE_UNIV","Universe for Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days","All HPS Indicators"],
["HHTELHLTH_RATE","Percentage of adults in households who had an appointment with a doctor, nurse, or other health professional by video or by phone in the last 4 weeks","All HPS Indicators"],
["JOBLOSS_UNIV","Universe for Adults in households where someone had a loss in employment income since March 13, 2020","All HPS Indicators"],
["HINSEC_RATE","Percentage of adults in households who are not current on rent or mortgage payments and who have slight or no confidence that their household can pay next month's rent or mortgage on time","All HPS Indicators"],
["LFNEXT_UNIV","Universe for Adults in households who expect someone in their household to have a loss in employment income in the next 4 weeks","All HPS Indicators"],
["JOBLOSS_TOTAL","Adults in households where someone had a loss in employment income since March 13, 2020","All HPS Indicators"],
["PRICEWORRY_TOTAL","Adults who are somewhat or very concerned that prices will increase in the next six months","All HPS Indicators"],
["HHTELHLTH_TOTAL","Adults in households who had an appointment with a doctor, nurse, or other health professional by video or by phone in the last 4 weeks","All HPS Indicators"],
["HLTHDLY_TOTAL","Adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","All HPS Indicators"],
["GETVACC_TOTAL","Adults in households who have not received a COVID-19 vaccine (but definitely will once available)","All HPS Indicators"],
["EDMVD_TOTAL","Adults in households with children in public or private school, where classes were taught in a distance learning format, or changed in some other way","All HPS Indicators"],
["HHTELHLTH_UNIV","Universe for Adults in households who had an appointment with a doctor, nurse, or other health professional by video or by phone in the last 4 weeks","All HPS Indicators"],
["TELEWORK_RATE","Percentage of adults in households where at least one adult has substituted some or all of their typical in-person work for telework because of the coronavirus pandemic","All HPS Indicators"],
["TELEWORK_2_UNIV","Universe for Adults in households where at least one adult has teleworked because of the coronavirus pandemic in the last 7 days","All HPS Indicators"],
["SECONDED_RATE","Percentage of adults in households where at least one adult was planning on taking post-secondary classes this fall, but for whom those plans have either been canceled or changed in some significant way","All HPS Indicators"],
["DISPLACEDTIME_RATE","Percentage of adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year","All HPS Indicators"],
["FOODSCARCE_RATE","Percentage of adults in households where there was either sometimes or often not enough to eat in the last 7 days","All HPS Indicators"],
["FOODFORCHLD_RATE","Percentage of adults in households where children received food assistance in the last 7 days","All HPS Indicators"],
["NATION","Geography",null],
["CHILDCARE_UNIV","Universe for Adults in households where children were unable to attend daycare or another childcare arrangement because of the coronavirus pandemic in the last 4 weeks","All HPS Indicators"],
["HLTHDLY_RATE","Percentage of adults in households who delayed getting medical care because of the COVID-19 pandemic in the last 4 weeks","All HPS Indicators"],
["FOODFORCHLD_TOTAL","Adults in households where children received food assistance in the last 7 days","All HPS Indicators"],
["CHILDCARE_2_UNIV","Universe for Adults in households where children under 5 were unable to attend daycare or another childcare arrangement in the last 4 weeks","All HPS Indicators"],
["DISPLACED_RATE","Percentage of adults in households who were displaced from their homes because of a natural disaster in the past year","All HPS Indicators"],
["PLNDTRIP_TOTAL","Adults who are planning to take any overnight trips or trips to places more than 100 miles away in the next 4 weeks","All HPS Indicators"],
["TELEWORK_TOTAL","Adults in households where at least one adult has substituted some or all of their typical in-person work for telework because of the coronavirus pandemic","All HPS Indicators"],
["GETVACC_UNIV","Universe for Adults in households who have not received a COVID-19 vaccine (but definitely will once available)","All HPS Indicators"],
["WACTIVITY_TOTAL","Adults in households where someone worked onsite at a workplace in the last 7 days","All HPS Indicators"],
["WACTIVITY_UNIV","Universe for Adults in households where someone worked onsite at a workplace in the last 7 days","All HPS Indicators"],
["DISPLACED_TOTAL","Adults in households who were displaced from their homes because of a natural disaster in the past year","All HPS Indicators"],
["LONGCOVID_1_UNIV","Universe for Adults who previously had COVID-19, with symptoms lasting 3 months or longer","All HPS Indicators"],
["HINSEC_UNIV","Universe for Adults in households who are not current on rent or mortgage payments and who have slight or no confidence that their household can pay next month's rent or mortgage on time","All HPS Indicators"],
